Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,kg CO2 eq/kg de produit
glaces et sorbets,desserts glacés,Pêche melba,0.00468
glaces et sorbets,desserts glacés,Poire belle Hélène,0.00382
glaces et sorbets,desserts glacés,Profiterole avec glace vanille et sauce chocolat,0.00699
glaces et sorbets,sorbets,"Sorbet, bâtonnet",0.00399
glaces et sorbets,sorbets,"Sorbet, en bac",0.00364
lait et produits laitiers,fromages,Abondance,0.0106
lait et produits laitiers,fromages,Asiago,0.0105
lait et produits laitiers,fromages,Beaufort,0.0107
lait et produits laitiers,fromages,Bleu de Gex ou Fromage bleu du Haut-jura ou Bleu de septmoncel (AOC),0.00957
lait et produits laitiers,produits laitiers frais et assimilés,"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré",0.00367
lait et produits laitiers,produits laitiers frais et assimilés,"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré",0.00367
lait et produits laitiers,produits laitiers frais et assimilés,"Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei",0.00367
lait et produits laitiers,fromages,Brie de Meaux,0.00889
lait et produits laitiers,fromages,Brie de Melun,0.00897
lait et produits laitiers,fromages,"Brie, sans précision",0.00913
lait et produits laitiers,fromages,Camembert au lait cru,0.00908
lait et produits laitiers,fromages,"Camembert, sans précision",0.00908
lait et produits laitiers,fromages,Cantal entre-deux,0.0104
lait et produits laitiers,fromages,"Cantal, Salers ou Laguiole",0.0105
lait et produits laitiers,fromages,Carré de l'Est,0.0088
lait et produits laitiers,fromages,Chabichou (fromage de chèvre),0.0146
lait et produits laitiers,fromages,Chaource,0.0087
lait et produits laitiers,fromages,Cheddar,0.0109
lait et produits laitiers,produits laitiers frais et assimilés,"Cheesecake ou Gâteau au fromage frais, rayon frais",6
lait et produits laitiers,fromages,Chevrot (fromage de chèvre),0.0134
lait et produits laitiers,produits laitiers frais et assimilés,"Clafoutis aux fruits, rayon frais",0.00815
lait et produits laitiers,fromages,Comté,0.0109
lait et produits laitiers,fromages,Coulommiers,0.00944
lait et produits laitiers,produits laitiers frais et assimilés,"Crème aux œufs (petit pot de crème chocolat, vanille, etc.), rayon frais",0.0072
lait et produits laitiers,produits laitiers frais et assimilés,"Crème brûlée, rayon frais",0.00431
lait et produits laitiers,produits laitiers frais et assimilés,"Crème caramel, rayon frais",0.00419
lait et produits laitiers,crèmes et spécialités à base de crème,"Crème chantilly, sous pression, UHT",0.00315
lait et produits laitiers,crèmes et spécialités à base de crème,"Crème de lait, 15 à 20% MG, légère, épaisse, rayon frais",0.00462
lait et produits laitiers,crèmes et spécialités à base de crème,"Crème de lait, 15 à 20% MG, légère, semi-épaisse, UHT",0.00418
lait et produits laitiers,crèmes et spécialités à base de crème,"Crème de lait, 30% MG, épaisse, rayon frais",0.00637
lait et produits laitiers,crèmes et spécialités à base de crème,"Crème de lait, 30% MG, semi-épaisse, UHT",0.00594
lait et produits laitiers,produits laitiers frais et assimilés,"Crème dessert à la vanille, appertisée",0.00336
lait et produits laitiers,produits laitiers frais et assimilés,"Crème dessert à la vanille, rayon frais",0.00327
lait et produits laitiers,produits laitiers frais et assimilés,"Crème dessert au café, rayon frais",0.00327
lait et produits laitiers,produits laitiers frais et assimilés,"Crème dessert au caramel, rayon frais",0.00327
lait et produits laitiers,produits laitiers frais et assimilés,"Crème dessert au chocolat, appertisée",0.00619
lait et produits laitiers,produits laitiers frais et assimilés,"Crème dessert au chocolat, rayon frais",0.00609
lait et produits laitiers,produits laitiers frais et assimilés,"Crème dessert, allégée en MG, rayon frais",0.00327
lait et produits laitiers,produits laitiers frais et assimilés,Crème pâtissière,0.00317
lait et produits laitiers,fromages,Crottin de Chavignol (fromage de chèvre),0.0146
lait et produits laitiers,fromages,"Crottin de chèvre, au lait cru",0.0167
lait et produits laitiers,fromages,"Crottin de chèvre, sans précision",0.0167
lait et produits laitiers,produits laitiers frais et assimilés,"Dessert au soja aromatisé, rayon frais",0.00255
lait et produits laitiers,produits laitiers frais et assimilés,"Dessert au soja, aux fruits, rayon frais",0.00255
lait et produits laitiers,produits laitiers frais et assimilés,"Dessert au soja, nature, rayon frais",0.00227
lait et produits laitiers,fromages,Edam,0.0104
lait et produits laitiers,fromages,Emmental ou emmenthal,0.0108
lait et produits laitiers,fromages,Emmental ou emmenthal râpé,0.0108
lait et produits laitiers,fromages,Époisses,0.00879
lait et produits laitiers,produits laitiers frais et assimilés,"Faisselle, 6% MG environ",0.00871
lait et produits laitiers,fromages,Feta de brebis,0.00846
lait et produits laitiers,produits laitiers frais et assimilés,"Flan aux œufs, rayon frais",0.00391
lait et produits laitiers,fromages,Fontina,0.00906
lait et produits laitiers,fromages,Fourme d'Ambert,0.00946
lait et produits laitiers,fromages,Fourme de Montbrison,0.00962
lait et produits laitiers,fromages,Fromage à pâte ferme environ 14% MG type Masdaam à teneur réduite en MG,0.00976
lait et produits laitiers,fromages,Fromage à pâte ferme environ 27% MG type Maasdam,0.0103
lait et produits laitiers,fromages,"Fromage à pâte molle à croûte lavée, au lait pasteurisé (type Vieux Pané)",0.00936
lait et produits laitiers,fromages,Fromage à pâte molle double crème environ 30% MG,0.0092
lait et produits laitiers,fromages,Fromage à pâte molle et croûte fleurie (type camembert),0.00939
lait et produits laitiers,fromages,"Fromage à pâte molle et croûte lavée, allégé environ 13% MG",0.00906
lait et produits laitiers,fromages,Fromage à pâte molle et croûte mixte (lavée et fleurie) colorée,0.00906
lait et produits laitiers,fromages,Fromage à pâte molle triple crème environ 40% MG,0.00906
lait et produits laitiers,fromages,"Fromage à pate pressée cuite type emmental ou emmenthal, allégé en matière grasse",0.0108
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage blanc nature, 0% MG",0.00314
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage blanc nature, 3% MG environ",0.00349
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage blanc nature, gourmand, 8% MG environ",0.00407
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ",0.00319
lait et produits laitiers,fromages,Fromage bleu au lait de vache,0.00926
lait et produits laitiers,fromages,Fromage bleu d'Auvergne,0.00945
lait et produits laitiers,fromages,Fromage bleu de Bresse,0.00926
lait et produits laitiers,fromages,Fromage bleu de Bresse allegé environ 15% MG,0.00886
lait et produits laitiers,fromages,Fromage bleu des Causses,0.00948
lait et produits laitiers,fromages,Fromage de brebis à pâte molle et croûte fleurie,0.00846
lait et produits laitiers,fromages,Fromage de brebis à pâte pressée,0.00772
lait et produits laitiers,fromages,Fromage de brebis Corse à pâte molle,0.0121
lait et produits laitiers,fromages,Fromage de brebis des Pyrénées,0.00826
lait et produits laitiers,fromages,Fromage de chèvre à pâte molle et croûte fleurie type camembert,0.0161
lait et produits laitiers,fromages,"Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle, au lait pasteurisé",0.0161
lait et produits laitiers,fromages,Fromage de chèvre bûche,0.0122
lait et produits laitiers,fromages,"Fromage de chèvre bûche, allégé en matière grasse",0.0132
lait et produits laitiers,fromages,Fromage de chèvre demi-sec,13
lait et produits laitiers,fromages,"Fromage de chèvre frais, au lait cru (type palet ou crottin frais)",0.0111
lait et produits laitiers,fromages,"Fromage de chèvre frais, au lait pasteurisé (type bûchette fraîche)",0.0132
lait et produits laitiers,fromages,"Fromage de chèvre frais, au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche)",0.0123
lait et produits laitiers,fromages,"Fromage de chèvre lactique affiné (type bûchette, crottin, Sainte-Maure)",0.0132
lait et produits laitiers,fromages,"Fromage de chèvre lactique affiné, au lait cru (type Crottin de Chavignol, Picodon, Rocamadour, Sainte-Maure de Touraine)",0.0137
lait et produits laitiers,fromages,"Fromage de chèvre lactique affiné, au lait pasteurisé (type bûchette ou crottin)",0.0132
lait et produits laitiers,fromages,Fromage de chèvre sec,0.0124
lait et produits laitiers,fromages,"Fromage fondu double crème, environ 31% MG",0.00906
lait et produits laitiers,fromages,Fromage fondu en portions ou en cubes environ 20% MG,0.00906
lait et produits laitiers,fromages,Fromage fondu en tranchettes,0.00906
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage frais type petit suisse, aromatisé aux fruits, 2-3% MG, enrichi en calcium et vitamine D",0.00344
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage frais type petit suisse, aux fruits, 2-3% MG",0.00344
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D",0.00344
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage frais type petit suisse, nature, 0% MG",0.00314
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage frais type petit suisse, nature, 10% MG environ",0.0043
lait et produits laitiers,produits laitiers frais et assimilés,"Fromage frais type petit suisse, nature, 4% MG environ",0.0036
lait et produits laitiers,fromages,Fromage rond à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse,0.00869
lait et produits laitiers,fromages,Fromage rond à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse,0.00876
lait et produits laitiers,fromages,Fromage rond à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse,0.0088
lait et produits laitiers,fromages,"Fromage type feta, au lait de vache",0.00895
lait et produits laitiers,fromages,"Fromage type feta, au lait de vache, à l'huile et aux aromates",0.00895
lait et produits laitiers,produits laitiers frais et assimilés,"Gâteau au chocolat, cœur fondant, rayon frais",0.0148
lait et produits laitiers,produits laitiers frais et assimilés,"Gâteau de riz au caramel, rayon frais",0.00395
lait et produits laitiers,produits laitiers frais et assimilés,"Gâteau de riz, appertisé",0.00432
lait et produits laitiers,produits laitiers frais et assimilés,"Gâteau de semoule aux raisins et caramel, rayon frais",0.00316
lait et produits laitiers,produits laitiers frais et assimilés,"Gâteau de semoule, appertisé",0.00383
lait et produits laitiers,fromages,Gorgonzola,0.00875
lait et produits laitiers,fromages,Gouda,0.0105
lait et produits laitiers,fromages,Grana Padano,0.0107
lait et produits laitiers,fromages,Gruyère,0.0109
lait et produits laitiers,fromages,Gruyère IGP France,0.0108
lait et produits laitiers,produits laitiers frais et assimilés,"Ile flottante, rayon frais",0.00422
lait et produits laitiers,laits,"Lait concentré non sucré, entier",0.00467
lait et produits laitiers,laits,"Lait concentré sucré, entier",0.00467
lait et produits laitiers,laits,"Lait de brebis, entier",0.00337
lait et produits laitiers,laits,"Lait de chèvre, demi-écrémé, UHT",0.00342
lait et produits laitiers,laits,"Lait de chèvre, entier, cru",0.00342
lait et produits laitiers,laits,"Lait de chèvre, entier, UHT",0.00342
lait et produits laitiers,laits,"Lait demi-écrémé, à teneur réduite en lactose",0.00259
lait et produits laitiers,laits,"Lait demi-écrémé, pasteurisé",0.00259
lait et produits laitiers,laits,"Lait demi-écrémé, UHT",0.00259
lait et produits laitiers,laits,"Lait demi-écrémé, UHT, enrichi en vitamines",0.00259
lait et produits laitiers,laits,"Lait écrémé, pasteurisé",0.00239
lait et produits laitiers,laits,"Lait écrémé, UHT",0.00239
lait et produits laitiers,produits laitiers frais et assimilés,"Lait emprésuré aromatisé, rayon frais",0.00302
lait et produits laitiers,laits,"Lait en poudre, demi-écrémé",0.0329
lait et produits laitiers,laits,"Lait en poudre, écrémé",0.0329
lait et produits laitiers,laits,"Lait en poudre, entier",0.0329
lait et produits laitiers,laits,"Lait entier, pasteurisé",0.00288
lait et produits laitiers,laits,"Lait entier, UHT",0.00288
lait et produits laitiers,produits laitiers frais et assimilés,"Lait fermenté à boire, nature, au lait entier",3
lait et produits laitiers,produits laitiers frais et assimilés,"Lait fermenté à boire, nature, maigre",0.00274
lait et produits laitiers,produits laitiers frais et assimilés,"Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus",0.00311
lait et produits laitiers,produits laitiers frais et assimilés,"Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus",0.00496
lait et produits laitiers,produits laitiers frais et assimilés,"Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus",0.00441
lait et produits laitiers,produits laitiers frais et assimilés,"Lait gélifié aromatisé, allégé en matière grasse et en sucre, rayon frais",0.00304
lait et produits laitiers,produits laitiers frais et assimilés,"Lait gélifié aromatisé, nappé caramel, rayon frais",0.00404
lait et produits laitiers,produits laitiers frais et assimilés,"Lait gélifié aromatisé, rayon frais",0.00304
lait et produits laitiers,fromages,Langres,0.00874
lait et produits laitiers,produits laitiers frais et assimilés,Liégeois aux fruits,0.00616
lait et produits laitiers,produits laitiers frais et assimilés,"Liégeois ou viennois (chocolat, café, caramel ou vanille), rayon frais",0.0083
lait et produits laitiers,fromages,Livarot,0.00925
lait et produits laitiers,fromages,Maroilles fermier,0.00945
lait et produits laitiers,fromages,Maroilles laitier,0.00929
lait et produits laitiers,fromages,"Maroilles, sans précision",0.00944
lait et produits laitiers,produits laitiers frais et assimilés,"Milk-shake, provenant de fast food",0.00283
lait et produits laitiers,fromages,Mimolette demi-vieille,0.0107
lait et produits laitiers,fromages,Mimolette extra-vieille,0.0109
lait et produits laitiers,fromages,Mimolette jeune,0.0106
lait et produits laitiers,fromages,Mimolette vieille,11
lait et produits laitiers,fromages,"Mimolette, sans précision",0.0102
lait et produits laitiers,fromages,Mont d'or ou Vacherin du Haut-Doubs (produit en France) ou Vacherin-Mont d'Or (produit en Suisse),0.00898
lait et produits laitiers,fromages,Morbier,0.0104
lait et produits laitiers,produits laitiers frais et assimilés,"Mousse à la crème de marrons, rayon frais",0.00814
lait et produits laitiers,produits laitiers frais et assimilés,"Mousse au chocolat (base laitière), rayon frais",0.0179
lait et produits laitiers,produits laitiers frais et assimilés,"Mousse au chocolat traditionnelle, rayon frais",0.0179
lait et produits laitiers,produits laitiers frais et assimilés,"Mousse aux fruits, rayon frais",0.00814
lait et produits laitiers,produits laitiers frais et assimilés,"Mousse liégeoise (chocolat, café, caramel ou vanille), rayon frais",0.00794
lait et produits laitiers,fromages,Mozzarella au lait de vache,0.00821
lait et produits laitiers,fromages,Munster,0.00922
lait et produits laitiers,fromages,Neufchâtel,0.00859
lait et produits laitiers,fromages,Ossau-Iraty,0.00826
lait et produits laitiers,produits laitiers frais et assimilés,Pain perdu,0.00431
lait et produits laitiers,produits laitiers frais et assimilés,"Panna cotta, rayon frais",0.00392
lait et produits laitiers,fromages,Parmesan,0.0108
lait et produits laitiers,fromages,Pélardon (fromage de chèvre),0.0158
lait et produits laitiers,fromages,Picodon (fromage de chèvre),0.0146
lait et produits laitiers,fromages,Pont l'Évêque,0.00931
lait et produits laitiers,fromages,Pouligny Saint-Pierre (fromage de chèvre),0.0138
lait et produits laitiers,produits laitiers frais et assimilés,"Profiteroles (crème pâtissière et sauce chocolat), rayon frais",0.0072
lait et produits laitiers,fromages,Provolone,0.0104
lait et produits laitiers,fromages,Raclette (fromage),0.0104
lait et produits laitiers,fromages,Reblochon,0.00926
lait et produits laitiers,produits laitiers frais et assimilés,"Riz au lait, rayon frais",0.00422
lait et produits laitiers,fromages,Rocamadour (fromage de chèvre),0.0129
lait et produits laitiers,fromages,Roquefort,0.00885
lait et produits laitiers,fromages,Sainte-Maure (fromage de chèvre),0.0132
lait et produits laitiers,fromages,Sainte-Maure de Touraine (fromage de chèvre),0.0137
lait et produits laitiers,fromages,Saint-Félicien,0.00849
lait et produits laitiers,fromages,Saint-Marcellin,0.00833
lait et produits laitiers,fromages,"Saint-Nectaire, fermier",0.00969
lait et produits laitiers,fromages,"Saint-Nectaire, laitier",0.00969
lait et produits laitiers,fromages,"Saint-Nectaire, sans précision",0.00969
lait et produits laitiers,fromages,Saint-Paulin (fromage à pâte pressée non cuite demi-ferme),0.0101
lait et produits laitiers,fromages,Salers,0.0105
lait et produits laitiers,fromages,Selles-sur-Cher (fromage de chèvre),0.0138
lait et produits laitiers,produits laitiers frais et assimilés,"Semoule au lait, rayon frais",0.00316
lait et produits laitiers,fromages,Snack pour enfants à base de fromage fondu et de gressins,0.00962
lait et produits laitiers,crèmes et spécialités à base de crème,"Spécialité à base de crème légère 8% MG, fluide ou épaisse",0.00374
lait et produits laitiers,fromages,Spécialité fromagère fondante au fromage blanc et aux noix,0.0104
lait et produits laitiers,fromages,Spécialité fromagère non affinée à tartiner environ 30-40 % MG aromatisée (ex: ail et fines herbes),0.00869
lait et produits laitiers,fromages,"Spécialité fromagère non affinée environ 20% MG, type fromage en barquette à tartiner ou coque fromagère",0.0081
lait et produits laitiers,fromages,"Spécialité fromagère non affinée environ 25% MG, type fromage en barquette à tartiner ou coque fromagère",0.00869
lait et produits laitiers,fromages,"Spécialité végétale type fromage à tartiner, au soja, préemballée",0.00719
lait et produits laitiers,fromages,"Spécialité végétale type fromage en tranche, sans soja, préemballée",0.0115
lait et produits laitiers,fromages,"Spécialité végétale type fromage râpé, sans soja, préemballée",0.0115
lait et produits laitiers,produits laitiers frais et assimilés,"Tiramisu, rayon frais",0.0367
lait et produits laitiers,fromages,Tome des Bauges,0.00988
lait et produits laitiers,fromages,Tomme ou tome de montagne ou de Savoie,0.00976
lait et produits laitiers,fromages,Tomme ou tome de vache,0.00982
lait et produits laitiers,fromages,"Tomme ou tome, allégée en matière grasse, environ 13% MG",0.00976
lait et produits laitiers,fromages,Valençay (fromage de chèvre),0.0141
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt à la grecque, au lait de brebis",0.00376
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt à la grecque, nature",0.00429
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt à la grecque, sur lit de fruits",0.00484
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt au lait de chèvre, nature, 5% MG environ",0.00379
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG",0.00299
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré",0.00299
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème",0.00309
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aux céréales",0.00485
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG",0.00485
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré",0.0101
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG",0.00484
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D",0.00484
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré",0.00484
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème",0.00484
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D",0.00484
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, nature",0.00429
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG",0.00429
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, nature, à la crème",0.00433
lait et produits laitiers,produits laitiers frais et assimilés,"Yaourt, lait fermenté ou spécialité laitière, nature, sucré",0.00304
matières grasses,beurres,"Beurre à 39-41% MG, léger, doux",0.0108
matières grasses,beurres,"Beurre à 60-62% MG, à teneur réduite en matière grasse, demi-sel",0.0121
matières grasses,beurres,"Beurre à 60-62% MG, à teneur réduite en matière grasse, doux",0.0122
matières grasses,beurres,"Beurre à 80% MG, demi-sel",13
matières grasses,beurres,"Beurre à 80% MG, salé",13
matières grasses,beurres,"Beurre à 82% MG, doux",0.0131
matières grasses,beurres,"Beurre à 82% MG, doux, tendre",0.0131
matières grasses,huiles et graisses végétales,Beurre de cacao,42
matières grasses,autres matières grasses,Graisse de canard,0.00447
matières grasses,autres matières grasses,Graisse de dinde,0.00447
matières grasses,autres matières grasses,Graisse de poulet,0.00447
matières grasses,autres matières grasses,Graisse d'oie,0.00447
matières grasses,huiles et graisses végétales,Huile combinée (mélange d'huiles),0.0088
matières grasses,huiles et graisses végétales,"Huile combinée, mélange d'huile d'olive et de graines",0.00907
matières grasses,huiles et graisses végétales,Huile d'arachide,0.0212
matières grasses,huiles et graisses végétales,Huile d'avocat,16
matières grasses,beurres,Huile de beurre ou Beurre concentré,0.0131
matières grasses,huiles et graisses végétales,Huile de colza,0.00799
matières grasses,huiles et graisses végétales,Huile de coton,0.0112
matières grasses,huiles de poissons,Huile de foie de morue,0.0131
matières grasses,huiles de poissons,Huile de hareng,0.0131
matières grasses,huiles et graisses végétales,Huile de lin,0.0145
matières grasses,huiles et graisses végétales,Huile de maïs,0.0144
matières grasses,huiles et graisses végétales,Huile de noisette,0.0539
matières grasses,huiles et graisses végétales,Huile de palme raffinée,0.0143
matières grasses,huiles et graisses végétales,"Huile de palme, sans précision",0.0131
matières grasses,huiles et graisses végétales,Huile de pépins de raisin,0.00907
matières grasses,huiles de poissons,Huile de sardine,0.0131
matières grasses,huiles de poissons,Huile de saumon,0.0131
matières grasses,huiles et graisses végétales,Huile de sésame,0.00799
matières grasses,huiles et graisses végétales,Huile de soja,0.0101
matières grasses,huiles et graisses végétales,Huile de tournesol,0.00938
matières grasses,huiles et graisses végétales,Huile d'olive vierge extra,0.0109
matières grasses,huiles et graisses végétales,"Huile pour friture, sans précision",0.0091
matières grasses,autres matières grasses,"Lard gras, cru",0.00342
matières grasses,beurres,"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux",0.00824
matières grasses,beurres,"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux",0.00906
matières grasses,margarines,Matière grasse mélangée (végétale et laitière) à 50-63% MG,0.00688
matières grasses,margarines,"Matière grasse mélangée (végétale et laitière) à 50-63% MG, demi-sel",0.00688
matières grasses,margarines,"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG",0.00616
matières grasses,margarines,"Matière grasse mélangée (végétale et laitière), à tartiner, à 30-40% MG, demi-sel",0.00616
matières grasses,huiles et graisses végétales,Matière grasse ou graisse végétale solide (type margarine) pour friture,0.00939
matières grasses,margarines,"Matière grasse végétale (type margarine) à 30-40% MG, légère, demi-sel, aux esters de stérol végétal",0.00661
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel",0.00891
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, demi-sel, riche en oméga 3",0.00856
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux",0.00687
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, aux esters de stérol végétal",0.00719
matières grasses,margarines,"Matière grasse végétale (type margarine) à 50-63% MG, allégée, doux, riche en oméga 3",0.0069
matières grasses,margarines,"Matière grasse végétale (type margarine) à 60% de MG, allégée, au tournesol, doux",0.00769
matières grasses,margarines,"Matière grasse végétale (type margarine) à 70% MG, doux",0.00835
matières grasses,margarines,"Matière grasse végétale (type margarine) à 80% MG, salé",0.0111
matières grasses,margarines,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, demi-sel",0.00691
matières grasses,margarines,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux",0.0061
matières grasses,margarines,"Matière grasse végétale (type margarine), à tartiner, à 30-40% MG, légère, doux, riche en oméga 3",0.00556
matières grasses,margarines,"Matière grasse végétale ou margarine, 80% MG, doux",0.00849
matières grasses,autres matières grasses,Saindoux,0.00342
produits céréaliers,"pâtes, riz et céréales","Amarante, crue",0.00322
produits céréaliers,farines et pâtes à tarte,Amidon de maïs ou fécule de maïs,0.00322
produits céréaliers,"pâtes, riz et céréales","Avoine, crue",0.00377
produits céréaliers,gâteaux et pâtisseries,"Baba au rhum, préemballé",0.00311
produits céréaliers,pains et viennoiseries,Bagel,0.00252
produits céréaliers,gâteaux et pâtisseries,Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),0.00953
produits céréaliers,céréales de petit-déjeuner et biscuits,"Barre biscuitée fourrée aux fruits, allégée en matière grasse",0.00547
produits céréaliers,céréales de petit-déjeuner et biscuits,"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux",0.00586
produits céréaliers,céréales de petit-déjeuner et biscuits,"Barre céréalière ""équilibre"" chocolatée, enrichie en vitamines et minéraux",0.0109
produits céréaliers,céréales de petit-déjeuner et biscuits,Barre céréalière aux amandes ou noisettes,0.00967
produits céréaliers,céréales de petit-déjeuner et biscuits,Barre céréalière aux fruits,0.00586
produits céréaliers,céréales de petit-déjeuner et biscuits,Barre céréalière chocolatée,0.0109
produits céréaliers,céréales de petit-déjeuner et biscuits,"Barre céréalière pour petit déjeuner au lait, chocolatée ou non, enrichie en vitamines et minéraux",0.0109
produits céréaliers,gâteaux et pâtisseries,Beignet à la confiture,0.0046
produits céréaliers,gâteaux et pâtisseries,"Beignet fourré aux fruits, préemballé",0.00463
produits céréaliers,gâteaux et pâtisseries,"Beignet fourré goût chocolat, préemballé",0.0107
produits céréaliers,gâteaux et pâtisseries,"Beignet rond moelleux, sans fourrage, saupoudré de sucre",0.0041
produits céréaliers,pains et viennoiseries,Biscotte briochée,0.00271
produits céréaliers,pains et viennoiseries,Biscotte classique,0.00271
produits céréaliers,pains et viennoiseries,Biscotte complète ou riche en fibres,0.00271
produits céréaliers,pains et viennoiseries,Biscotte multicéréale,0.00271
produits céréaliers,pains et viennoiseries,Biscotte sans adjonction de sel,0.00271
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif à base de pomme de terre, type tuile salée",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,Biscuit apéritif feuilleté,0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif soufflé, à base de maïs, à la cacahuète",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif soufflé, à base de maïs, sans cacahuète",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif soufflé, à base de pomme de terre",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif soufflé, à base de pomme de terre et de soja",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif, crackers, garni ou fourré, au fromage",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif, crackers, nature",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif, crackers, nature, allégé en matière grasse",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit apéritif, mini bretzel ou sticks",0.00496
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit aux céréales pour petit déjeuner, enrichis en vitamines et minéraux",0.00618
produits céréaliers,gâteaux et pâtisseries,Biscuit de Savoie,0.00814
produits céréaliers,céréales de petit-déjeuner et biscuits,Biscuit moelleux fourré à l'orange et enrobé de sucre glace,0.00547
produits céréaliers,céréales de petit-déjeuner et biscuits,Biscuit pâtissier meringué,0.00536
produits céréaliers,céréales de petit-déjeuner et biscuits,"Biscuit sec (génoise) nappage aux fruits, type barquette",0.00547
produits céréaliers,céréales de petit-déjeuner et biscuits,Biscuit sec à teneur garantie en vitamines,0.00536
